Precinct Number,Precinct Name,Total Reg Voters,Democratic Reg Voters,Republican Reg Voters,Total Ballots Cast,Democratic Ballots Cast,Republican Ballots Cast,Total Voter Turnout (%),Democratic Voter Turnout (%),Republican Voter Turnout (%)
1,ALEPPO,1369,527,685,229,98,131,16.73,18.6,19.12
2,ASPINWALL DIST 1,885,475,281,176,125,51,19.89,26.32,18.15
3,ASPINWALL DIST 2,607,298,194,135,103,32,22.24,34.56,16.49
4,ASPINWALL DIST 3,872,452,284,186,135,51,21.33,29.87,17.96
5,AVALON WARD 1,1122,680,253,118,90,28,10.52,13.24,11.07
6,AVALON WARD 2 DIST 1,721,423,180,111,82,29,15.4,19.39,16.11
7,AVALON WARD 2 DIST 2,476,270,146,70,54,16,14.71,20,10.96
8,AVALON WARD 3 DIST 1,329,183,91,42,32,10,12.77,17.49,10.99
9,AVALON WARD 3 DIST 2,499,276,154,64,50,14,12.83,18.12,9.09
10,AVALON WARD 3 DIST 3,510,294,134,69,50,19,13.53,17.01,14.18
11,BALDWIN BR DIST 1,594,372,157,94,74,20,15.82,19.89,12.74
12,BALDWIN BR DIST 2,996,607,256,204,163,41,20.48,26.85,16.02
13,BALDWIN BR DIST 3,802,507,203,121,94,27,15.09,18.54,13.3
14,BALDWIN BR DIST 4,757,444,220,157,115,42,20.74,25.9,19.09
15,BALDWIN BR DIST 5,823,495,216,111,91,20,13.49,18.38,9.26
16,BALDWIN BR DIST 6,764,423,241,137,94,43,17.93,22.22,17.84
17,BALDWIN BR DIST 7,813,448,254,118,85,33,14.51,18.97,12.99
18,BALDWIN BR DIST 8,709,392,214,124,93,31,17.49,23.72,14.49
19,BALDWIN BR DIST 9,741,442,216,125,97,28,16.87,21.95,12.96
20,BALDWIN BR DIST 10,1066,656,203,60,44,16,5.63,6.71,7.88
21,BALDWIN BR DIST 11,1195,739,247,94,72,22,7.87,9.74,8.91
22,BALDWIN BR DIST 12,628,416,136,132,109,23,21.02,26.2,16.91
23,BALDWIN BR DIST 13,673,413,192,162,115,47,24.07,27.85,24.48
24,BALDWIN BR DIST 14,591,340,182,117,83,34,19.8,24.41,18.68
25,BALDWIN BR DIST 15,789,519,191,181,142,39,22.94,27.36,20.42
26,BALDWIN BR DIST 16,889,554,228,195,154,41,21.93,27.8,17.98
27,BALDWIN BR DIST 17,691,410,200,109,85,24,15.77,20.73,12
28,BALDWIN BR DIST 18,930,571,245,180,134,46,19.35,23.47,18.78
29,BALDWIN TP DIST 1,774,407,261,136,108,28,17.57,26.54,10.73
30,BALDWIN TP DIST 2,722,429,194,111,89,22,15.37,20.75,11.34
31,BELL ACRES,1167,427,535,162,87,75,13.88,20.37,14.02
32,BELLEVUE WARD 1 DIST 1,1041,631,236,171,131,40,16.43,20.76,16.95
33,BELLEVUE WARD 1 DIST 2,998,622,222,173,136,37,17.33,21.86,16.67
34,BELLEVUE WARD 2 DIST 1,1150,686,241,126,104,22,10.96,15.16,9.13
35,BELLEVUE WARD 2 DIST 2,1048,599,272,144,105,39,13.74,17.53,14.34
36,BELLEVUE WARD 3 DIST 1,1025,573,268,142,106,36,13.85,18.5,13.43
37,BELLEVUE WARD 3 DIST 2,980,541,270,119,96,23,12.14,17.74,8.52
38,BEN AVON DIST 1,478,274,134,101,72,29,21.13,26.28,21.64
39,BEN AVON DIST 2,977,503,328,159,121,38,16.27,24.06,11.59
40,BEN AVON HT,324,122,165,74,35,39,22.84,28.69,23.64
41,BETHEL PARK WARD 1 DIST 1,870,390,354,143,72,71,16.44,18.46,20.06
42,BETHEL PARK WARD 1 DIST 2,822,436,280,173,111,62,21.05,25.46,22.14
43,BETHEL PARK WARD 1 DIST 3,828,418,301,181,107,74,21.86,25.6,24.58
44,BETHEL PARK WARD 2 DIST 1,730,299,363,217,102,115,29.73,34.11,31.68
45,BETHEL PARK WARD 2 DIST 2,909,366,433,163,85,78,17.93,23.22,18.01
46,BETHEL PARK WARD 2 DIST 3,1126,512,451,187,106,81,16.61,20.7,17.96
47,BETHEL PARK WARD 3 DIST 1,789,329,362,189,109,80,23.95,33.13,22.1
48,BETHEL PARK WARD 3 DIST 2,956,398,439,218,114,104,22.8,28.64,23.69
49,BETHEL PARK WARD 3 DIST 3,1074,433,497,251,125,126,23.37,28.87,25.35
50,BETHEL PARK WARD 4 DIST 1,1302,588,543,290,165,125,22.27,28.06,23.02
51,BETHEL PARK WARD 4 DIST 2,791,404,302,156,96,60,19.72,23.76,19.87
52,BETHEL PARK WARD 4 DIST 3,901,413,368,167,90,77,18.53,21.79,20.92
53,BETHEL PARK WARD 5 DIST 1,621,292,227,140,78,62,22.54,26.71,27.31
54,BETHEL PARK WARD 5 DIST 2,673,339,226,108,69,39,16.05,20.35,17.26
55,BETHEL PARK WARD 5 DIST 3,1483,677,579,250,142,108,16.86,20.97,18.65
56,BETHEL PARK WARD 6 DIST 1,1312,556,585,279,146,133,21.27,26.26,22.74
57,BETHEL PARK WARD 6 DIST 2,962,443,374,251,140,111,26.09,31.6,29.68
58,BETHEL PARK WARD 6 DIST 3,848,345,392,224,116,108,26.42,33.62,27.55
59,BETHEL PARK WARD 7 DIST 1,1181,490,524,253,133,120,21.42,27.14,22.9
60,BETHEL PARK WARD 7 DIST 2,1135,499,490,233,117,116,20.53,23.45,23.67
61,BETHEL PARK WARD 7 DIST 3,768,344,304,141,72,69,18.36,20.93,22.7
62,BETHEL PARK WARD 8 DIST 1,525,242,216,106,50,56,20.19,20.66,25.93
63,BETHEL PARK WARD 8 DIST 2,560,317,185,85,48,37,15.18,15.14,20
64,BETHEL PARK WARD 8 DIST 3,1246,564,518,318,165,153,25.52,29.26,29.54
65,BETHEL PARK WARD 8 DIST 4,456,195,189,92,43,49,20.18,22.05,25.93
66,BETHEL PARK WARD 9 DIST 1,573,232,276,130,60,70,22.69,25.86,25.36
67,BETHEL PARK WARD 9 DIST 2,751,328,334,136,65,71,18.11,19.82,21.26
68,BETHEL PARK WARD 9 DIST 3,1407,525,689,288,129,159,20.47,24.57,23.08
69,BLAWNOX,1064,622,255,158,128,30,14.85,20.58,11.76
70,BRACKENRIDGE WARD 1,515,305,128,78,57,21,15.15,18.69,16.41
71,BRACKENRIDGE WARD 2,785,441,223,115,79,36,14.65,17.91,16.14
72,BRACKENRIDGE WARD 3,655,342,203,97,70,27,14.81,20.47,13.3
73,BRADDOCK WARD 1,560,478,22,111,110,. 1,19.82,23.01,4.55
74,BRADDOCK WARD 2,641,538,31,112,111,. 1,17.47,20.63,3.23
75,BRADDOCK WARD 3,497,411,25,75,74,. 1,15.09,18,4
76,BRADDOCK HL DIST 1,844,651,112,119,97,22,14.1,14.9,19.64
77,BRADDOCK HL DIST 2,548,409,83,133,120,13,24.27,29.34,15.66
78,BRADFORD WOODS,1027,361,502,207,88,119,20.16,24.38,23.71
79,BRENTWOOD DIST 1,558,293,197,98,70,28,17.56,23.89,14.21
80,BRENTWOOD DIST 2,758,420,212,96,75,21,12.66,17.86,9.91
81,BRENTWOOD DIST 3,580,329,153,72,46,26,12.41,13.98,16.99
82,BRENTWOOD DIST 4,774,456,197,104,80,24,13.44,17.54,12.18
83,BRENTWOOD DIST 5,735,436,164,60,51,. 9,8.16,11.7,5.49
84,BRENTWOOD DIST 6,711,411,172,63,55,. 8,8.86,13.38,4.65
85,BRENTWOOD DIST 7,770,413,222,77,54,23,10,13.08,10.36
86,BRENTWOOD DIST 8,707,390,230,104,66,38,14.71,16.92,16.52
87,BRENTWOOD DIST 9,593,343,169,92,78,14,15.51,22.74,8.28
88,BRENTWOOD DIST 10,567,299,179,58,34,24,10.23,11.37,13.41
89,BRIDGEVILLE DIST 1,830,432,284,95,71,24,11.45,16.44,8.45
90,BRIDGEVILLE DIST 2,884,481,263,82,55,27,9.28,11.43,10.27
91,BRIDGEVILLE DIST 3,871,432,330,99,64,35,11.37,14.81,10.61
92,BRIDGEVILLE DIST 4,991,537,331,124,80,44,12.51,14.9,13.29
93,CARNEGIE WARD 1 DIST 1,545,291,148,39,32,. 7,7.16,11,4.73
94,CARNEGIE WARD 1 DIST 2,1237,650,371,82,64,18,6.63,9.85,4.85
95,CARNEGIE WARD 1 DIST 3,867,528,230,97,79,18,11.19,14.96,7.83
96,CARNEGIE WARD 1 DIST 4,394,255,67,36,31,. 5,9.14,12.16,7.46
97,CARNEGIE WARD 2 DIST 1,682,378,177,57,47,10,8.36,12.43,5.65
98,CARNEGIE WARD 2 DIST 2,529,313,142,63,47,16,11.91,15.02,11.27
99,CARNEGIE WARD 2 DIST 3,484,282,142,72,54,18,14.88,19.15,12.68
100,CARNEGIE WARD 2 DIST 4,966,552,239,109,75,34,11.28,13.59,14.23
101,CASL SHANNON DIST 1,1123,609,309,90,66,24,8.01,10.84,7.77
102,CASL SHANNON DIST 2,859,469,251,126,92,34,14.67,19.62,13.55
103,CASL SHANNON DIST 3,839,455,252,81,58,23,9.65,12.75,9.13
104,CASL SHANNON DIST 4,663,376,190,92,71,21,13.88,18.88,11.05
105,CASL SHANNON DIST 5,651,392,165,89,65,24,13.67,16.58,14.55
106,CASL SHANNON DIST 6,658,408,184,95,65,30,14.44,15.93,16.3
107,CASL SHANNON DIST 7,757,444,208,105,81,24,13.87,18.24,11.54
108,CASL SHANNON DIST 8,557,308,171,93,64,29,16.7,20.78,16.96
109,CHALFANT DIST 1,593,379,148,96,73,23,16.19,19.26,15.54
110,CHESWICK DIST 1,621,337,203,122,83,39,19.65,24.63,19.21
111,CHESWICK DIST 2,650,350,233,144,94,50,22.15,26.86,21.46
112,CHURCHILL DIST 1,703,438,202,158,125,33,22.48,28.54,16.34
113,CHURCHILL DIST 2,725,439,185,169,136,33,23.31,30.98,17.84
114,CHURCHILL DIST 3,676,379,214,160,119,41,23.67,31.4,19.16
115,CHURCHILL DIST 4,690,359,241,128,99,29,18.55,27.58,12.03
116,CLAIRTON WARD 1 DIST 1,389,276,56,64,59,. 5,16.45,21.38,8.93
117,CLAIRTON WARD 1 DIST 2,410,294,67,66,52,14,16.1,17.69,20.9
118,CLAIRTON WARD 1 DIST 3,338,217,78,53,44,. 9,15.68,20.28,11.54
119,CLAIRTON WARD 2 DIST 1,139,127,. 3,34,34,. 0,24.46,26.77,. .00
120,CLAIRTON WARD 2 DIST 2,331,286,14,56,56,. 0,16.92,19.58,. .00
121,CLAIRTON WARD 2 DIST 3,467,375,37,63,59,. 4,13.49,15.73,10.81
122,CLAIRTON WARD 3 DIST 1,454,316,87,67,54,13,14.76,17.09,14.94
123,CLAIRTON WARD 3 DIST 2,394,305,56,43,38,. 5,10.91,12.46,8.93
124,CLAIRTON WARD 3 DIST 3,432,316,46,38,36,. 2,8.8,11.39,4.35
125,CLAIRTON WARD 4 DIST 1,402,354,21,93,90,. 3,23.13,25.42,14.29
126,CLAIRTON WARD 4 DIST 2,391,320,35,80,76,. 4,20.46,23.75,11.43
127,CLAIRTON WARD 4 DIST 3,434,282,94,90,74,16,20.74,26.24,17.02
128,COLLIER DIST 1,1229,542,523,230,137,93,18.71,25.28,17.78
129,COLLIER DIST 2,1286,588,525,292,178,114,22.71,30.27,21.71
130,COLLIER DIST 3,1248,683,422,190,130,60,15.22,19.03,14.22
131,COLLIER DIST 4,794,410,292,149,105,44,18.77,25.61,15.07
132,COLLIER DIST 5,999,272,584,85,40,45,8.51,14.71,7.71
133,COLLIER DIST 6,1138,567,388,143,104,39,12.57,18.34,10.05
134,CORAOPOLIS WARD 1 DIST 1,468,325,81,80,67,13,17.09,20.62,16.05
135,CORAOPOLIS WARD 1 DIST 2,526,314,132,105,88,17,19.96,28.03,12.88
136,CORAOPOLIS WARD 2,827,556,173,166,141,25,20.07,25.36,14.45
137,CORAOPOLIS WARD 3 DIST 1,598,341,173,120,86,34,20.07,25.22,19.65
138,CORAOPOLIS WARD 3 DIST 2,603,327,192,119,84,35,19.73,25.69,18.23
139,CORAOPOLIS WARD 4 DIST 1,457,262,125,104,78,26,22.76,29.77,20.8
140,CORAOPOLIS WARD 4 DIST 2,544,329,136,128,97,31,23.53,29.48,22.79
141,CRAFTON WARD 1 DIST 1,919,539,238,118,91,27,12.84,16.88,11.34
142,CRAFTON WARD 1 DIST 2,633,364,161,78,59,19,12.32,16.21,11.8
143,CRAFTON WARD 2 DIST 1,614,355,168,83,58,25,13.52,16.34,14.88
144,CRAFTON WARD 2 DIST 2,827,507,181,121,98,23,14.63,19.33,12.71
145,CRAFTON WARD 3 DIST 1,1012,534,299,145,96,49,14.33,17.98,16.39
146,CRAFTON WARD 3 DIST 2,598,322,186,65,45,20,10.87,13.98,10.75
147,CRESCENT WARD 1,1149,527,451,208,113,95,18.1,21.44,21.06
148,CRESCENT WARD 2,683,310,268,121,65,56,17.72,20.97,20.9
149,DORMONT DIST 1,746,442,197,67,51,16,8.98,11.54,8.12
150,DORMONT DIST 2,546,298,166,70,52,18,12.82,17.45,10.84
151,DORMONT DIST 3,954,576,206,100,86,14,10.48,14.93,6.8
152,DORMONT DIST 4,676,407,179,88,65,23,13.02,15.97,12.85
153,DORMONT DIST 5,1096,636,256,134,114,20,12.23,17.92,7.81
154,DORMONT DIST 6,540,306,142,68,57,11,12.59,18.63,7.75
155,DORMONT DIST 7,526,332,108,68,60,. 8,12.93,18.07,7.41
156,DORMONT DIST 8,425,247,124,79,65,14,18.59,26.32,11.29
157,DORMONT DIST 9,540,312,130,63,56,. 7,11.67,17.95,5.38
158,DORMONT DIST 10,634,397,149,103,93,10,16.25,23.43,6.71
159,DRAVOSBURG DIST 1,557,329,162,109,83,26,19.57,25.23,16.05
160,DRAVOSBURG DIST 2,374,209,118,61,43,18,16.31,20.57,15.25
161,DRAVOSBURG DIST 3,253,180,50,66,54,12,26.09,30,24
162,DUQUESNE WARD 1 DIST 1,470,350,71,94,75,19,20,21.43,26.76
163,DUQUESNE WARD 1 DIST 2,556,429,47,75,68,. 7,13.49,15.85,14.89
164,DUQUESNE WARD 1 DIST 3,343,268,26,56,51,. 5,16.33,19.03,19.23
165,DUQUESNE WARD 1 DIST 4,236,188,23,15,15,. 0,6.36,7.98,. .00
166,DUQUESNE WARD 2 DIST 1,393,317,30,74,70,. 4,18.83,22.08,13.33
167,DUQUESNE WARD 2 DIST 2,433,357,36,72,68,. 4,16.63,19.05,11.11
168,DUQUESNE WARD 2 DIST 3,447,342,46,77,71,. 6,17.23,20.76,13.04
169,DUQUESNE WARD 3 DIST 1,260,221,13,38,38,. 0,14.62,17.19,. .00
170,DUQUESNE WARD 3 DIST 2,179,147,11,24,23,. 1,13.41,15.65,9.09
171,DUQUESNE WARD 3 DIST 3,584,463,60,116,109,. 7,19.86,23.54,11.67
172,EAST DEER WARD 1,314,186,85,45,39,. 6,14.33,20.97,7.06
173,EAST DEER WARD 2,576,282,183,68,51,17,11.81,18.09,9.29
174,E MCKEESPORT DIST 1,398,251,110,73,61,12,18.34,24.3,10.91
175,E MCKEESPORT DIST 2,533,340,108,67,55,12,12.57,16.18,11.11
176,E MCKEESPORT DIST 3,498,297,134,81,65,16,16.27,21.89,11.94
177,E PITTSBURGH WARD 1,365,284,33,86,80,. 6,23.56,28.17,18.18
178,E PITTSBURGH WARD 2,424,330,33,75,71,. 4,17.69,21.52,12.12
179,E PITTSBURGH WARD 3,518,399,50,69,66,. 3,13.32,16.54,6
180,EDGEWOOD DIST 1,1047,739,150,218,195,23,20.82,26.39,15.33
181,EDGEWOOD DIST 2,963,637,190,207,182,25,21.5,28.57,13.16
182,EDGEWOOD DIST 3,909,614,139,183,163,20,20.13,26.55,14.39
183,EDGEWORTH DIST 1,709,231,351,92,43,49,12.98,18.61,13.96
184,EDGEWORTH DIST 2,773,290,363,95,45,50,12.29,15.52,13.77
185,ELIZABETH BR,923,474,341,122,77,45,13.22,16.24,13.2
186,ELIZABETH TP WD 1 DIST 1,576,315,217,109,74,35,18.92,23.49,16.13
187,ELIZABETH TP WD 1 DIST 2,925,426,399,178,104,74,19.24,24.41,18.55
188,ELIZABETH TP WARD 2,1273,598,566,208,115,93,16.34,19.23,16.43
189,ELIZABETH TP WARD 3,1347,684,525,381,241,140,28.29,35.23,26.67
190,ELIZABETH TP WD 4 DIST 1,920,455,373,134,70,64,14.57,15.38,17.16
191,ELIZABETH TP WD 4 DIST 2,466,224,205,95,51,44,20.39,22.77,21.46
192,ELIZABETH TP WD 5 DIST 1,465,199,212,74,37,37,15.91,18.59,17.45
193,ELIZABETH TP WD 5 DIST 2,831,446,289,141,102,39,16.97,22.87,13.49
194,ELIZABETH TP WD 6 DIST 1,619,280,287,114,69,45,18.42,24.64,15.68
195,ELIZABETH TP WD 6 DIST 2,713,350,296,127,72,55,17.81,20.57,18.58
196,ELIZABETH TP WD 7,1276,695,456,243,151,92,19.04,21.73,20.18
197,EMSWORTH DIST 1,799,412,271,121,85,36,15.14,20.63,13.28
198,EMSWORTH DIST 2,971,506,297,98,74,24,10.09,14.62,8.08
199,ETNA WARD 1,841,507,192,115,98,17,13.67,19.33,8.85
200,ETNA WARD 2,716,434,153,72,55,17,10.06,12.67,11.11
201,ETNA WARD 3,725,425,188,99,76,23,13.66,17.88,12.23
202,FAWN DIST 1,556,240,243,92,49,43,16.55,20.42,17.7
203,FAWN DIST 2,920,415,391,203,112,91,22.07,26.99,23.27
204,FINDLAY DIST 1,1375,577,609,138,68,70,10.04,11.79,11.49
205,FINDLAY DIST 2,1765,802,728,219,135,84,12.41,16.83,11.54
206,FINDLAY DIST 3,1211,557,492,182,108,74,15.03,19.39,15.04
207,FOREST HILLS DIST 1,637,379,178,160,134,26,25.12,35.36,14.61
208,FOREST HILLS DIST 2,646,421,147,157,135,22,24.3,32.07,14.97
209,FOREST HILLS DIST 3,648,378,194,134,100,34,20.68,26.46,17.53
210,FOREST HILLS DIST 4,724,492,151,137,117,20,18.92,23.78,13.25
211,FOREST HILLS DIST 5,716,431,189,172,138,34,24.02,32.02,17.99
212,FOREST HILLS DIST 6,578,365,144,150,121,29,25.95,33.15,20.14
213,FOREST HILLS DIST 7,771,522,136,120,110,10,15.56,21.07,7.35
214,FOREST HILLS DIST 8,728,438,211,168,139,29,23.08,31.74,13.74
215,FORWARD DIST 1,374,177,152,66,32,34,17.65,18.08,22.37
216,FORWARD DIST 2,873,479,295,132,85,47,15.12,17.75,15.93
217,FORWARD DIST 3,387,217,132,62,44,18,16.02,20.28,13.64
218,FORWARD DIST 4,457,245,152,73,44,29,15.97,17.96,19.08
219,FOX CHAPEL DIST 1,844,374,367,191,109,82,22.63,29.14,22.34
220,FOX CHAPEL DIST 2,1029,428,439,217,124,93,21.09,28.97,21.18
221,FOX CHAPEL DIST 3,762,303,350,154,79,75,20.21,26.07,21.43
222,FOX CHAPEL DIST 4,1236,532,500,240,134,106,19.42,25.19,21.2
223,FOX CHAPEL DIST 5,914,327,458,174,80,94,19.04,24.46,20.52
224,FRANKLIN PK WARD 1 DIST 1,1198,409,578,123,58,65,10.27,14.18,11.25
225,FRANKLIN PK WARD 1 DIST 2,1372,452,626,114,63,51,8.31,13.94,8.15
226,FRANKLIN PK WARD 1 DIST 3,1359,501,629,174,103,71,12.8,20.56,11.29
227,FRANKLIN PK WARD 2 DIST 1,1116,406,473,152,84,68,13.62,20.69,14.38
228,FRANKLIN PK WARD 2 DIST 2,1306,465,631,194,120,74,14.85,25.81,11.73
229,FRANKLIN PK WARD 2 DIST 3,1398,500,644,242,126,116,17.31,25.2,18.01
230,FRANKLIN PK WARD 3 DIST 1,1283,441,618,193,86,107,15.04,19.5,17.31
231,FRANKLIN PK WARD 3 DIST 2,799,291,368,130,70,60,16.27,24.05,16.3
232,FRANKLIN PK WARD 3 DIST 3,1247,454,617,230,132,98,18.44,29.07,15.88
233,FRAZER,766,355,325,91,46,45,11.88,12.96,13.85
234,GLASSPORT DIST 1,565,358,159,124,92,32,21.95,25.7,20.13
235,GLASSPORT DIST 2,400,257,92,50,43,. 7,12.5,16.73,7.61
236,GLASSPORT DIST 3,549,388,99,117,100,17,21.31,25.77,17.17
237,GLASSPORT DIST 4,247,145,62,49,40,. 9,19.84,27.59,14.52
238,GLASSPORT DIST 5,483,307,131,136,110,26,28.16,35.83,19.85
239,GLASSPORT DIST 6,449,300,106,106,89,17,23.61,29.67,16.04
240,GLENFIELD,153,62,64,26,14,12,16.99,22.58,18.75
241,GREEN TREE DIST 1,780,417,264,128,95,33,16.41,22.78,12.5
242,GREEN TREE DIST 2,1071,533,394,172,110,62,16.06,20.64,15.74
243,GREEN TREE DIST 3,984,476,364,126,90,36,12.8,18.91,9.89
244,GREEN TREE DIST 4,873,471,280,96,74,22,11,15.71,7.86
245,HAMPTON DIST 1,1214,471,563,198,91,107,16.31,19.32,19.01
246,HAMPTON DIST 2,1236,487,571,146,69,77,11.81,14.17,13.49
247,HAMPTON DIST 3,1338,519,633,173,85,88,12.93,16.38,13.9
248,HAMPTON DIST 4,632,308,243,86,59,27,13.61,19.16,11.11
249,HAMPTON DIST 5,702,317,280,97,52,45,13.82,16.4,16.07
250,HAMPTON DIST 6,657,271,328,112,54,58,17.05,19.93,17.68
251,HAMPTON DIST 7,1371,467,706,229,108,121,16.7,23.13,17.14
252,HAMPTON DIST 8,954,400,416,180,89,91,18.87,22.25,21.88
253,HAMPTON DIST 9,1295,554,585,200,102,98,15.44,18.41,16.75
254,HAMPTON DIST 10,1531,611,681,175,94,81,11.43,15.38,11.89
255,HAMPTON DIST 11,1703,725,771,246,131,115,14.45,18.07,14.92
256,HAMPTON DIST 12,866,360,369,147,80,67,16.97,22.22,18.16
257,HAMPTON DIST 13,774,345,317,125,70,55,16.15,20.29,17.35
258,HARMAR DIST 1,1345,635,567,197,110,87,14.65,17.32,15.34
259,HARMAR DIST 2,744,441,219,109,76,33,14.65,17.23,15.07
260,HARMAR DIST 3,349,208,101,67,46,21,19.2,22.12,20.79
261,HARRISON WARD 1 DIST 1,291,151,110,93,62,31,31.96,41.06,28.18
262,HARRISON WARD 1 DIST 2,592,275,252,180,101,79,30.41,36.73,31.35
263,HARRISON WARD 1 DIST 3,658,308,242,160,91,69,24.32,29.55,28.51
264,HARRISON WARD 2 DIST 1,315,173,97,63,39,24,20,22.54,24.74
265,HARRISON WARD 2 DIST 2,598,348,132,81,62,19,13.55,17.82,14.39
266,HARRISON WARD 3 DIST 1,1040,542,393,330,223,107,31.73,41.14,27.23
267,HARRISON WARD 3 DIST 2,625,320,218,203,133,70,32.48,41.56,32.11
268,HARRISON WARD 4 DIST 1,684,341,252,145,96,49,21.2,28.15,19.44
269,HARRISON WARD 4 DIST 2,584,314,196,104,65,39,17.81,20.7,19.9
270,HARRISON WARD 5 DIST 1,535,328,120,66,52,14,12.34,15.85,11.67
